"Ano";"Mês";"TipoMercado";"RegiãoAgregada";"Preço em Reais por MMBtu";"Volume em mil metros cúbicos/dia"
"2019";"09";"Térmico";"Norte-Nordeste";18,9;15908
"2019";"09";"Não Térmico";"Norte-Nordeste";49,3;7159
"2019";"09";"Não Térmico";"Sudeste";48,8;26028
"2019";"09";"Térmico";"Sudeste-Sul-Centro-Oeste";18,8;10520
"2019";"09";"Não Térmico";"Sul-Centro-Oeste";40,1;5726
"2019";"10";"Térmico";"Norte-Nordeste";18,8;16353
"2019";"10";"Não Térmico";"Norte-Nordeste";49,4;7500
"2019";"10";"Não Térmico";"Sudeste";47,8;25854
"2019";"10";"Térmico";"Sudeste-Sul-Centro-Oeste";21,9;15759
"2019";"10";"Não Térmico";"Sul-Centro-Oeste";38;5863
"2019";"11";"Térmico";"Norte-Nordeste";19;16941
"2019";"11";"Não Térmico";"Norte-Nordeste";48,1;6710
"2019";"11";"Não Térmico";"Sudeste";47,2;25385
"2019";"11";"Térmico";"Sudeste-Sul-Centro-Oeste";24,6;16319
"2019";"11";"Não Térmico";"Sul-Centro-Oeste";39,2;5786
"2019";"12";"Térmico";"Norte-Nordeste";18,9;15392
"2019";"12";"Não Térmico";"Norte-Nordeste";48,2;6576
"2019";"12";"Não Térmico";"Sudeste";46,9;23854
"2019";"12";"Térmico";"Sudeste-Sul-Centro-Oeste";19,7;10403
"2019";"12";"Não Térmico";"Sul-Centro-Oeste";37,6;5288
"2020";"01";"Térmico";"Norte-Nordeste";19,1;16489
"2020";"01";"Não Térmico";"Norte-Nordeste";44,6;6950
"2020";"01";"Não Térmico";"Sudeste";42,6;23993
"2020";"01";"Térmico";"Sudeste-Sul-Centro-Oeste";23,8;9036
"2020";"01";"Não Térmico";"Sul-Centro-Oeste";38,1;5504
"2020";"02";"Térmico";"Norte-Nordeste";20,7;12782
"2020";"02";"Não Térmico";"Norte-Nordeste";46;7146
"2020";"02";"Não Térmico";"Sudeste";44;19854
"2020";"02";"Térmico";"Sudeste-Sul-Centro-Oeste";17,9;5834
"2020";"02";"Não Térmico";"Sul-Centro-Oeste";38,1;4434
"2020";"03";"Térmico";"Norte-Nordeste";29,1;6157
"2020";"03";"Não Térmico";"Norte-Nordeste";44,5;6514
"2020";"03";"Não Térmico";"Sudeste";46,4;22899
"2020";"03";"Térmico";"Sudeste-Sul-Centro-Oeste";18,7;4607
"2020";"03";"Não Térmico";"Sul-Centro-Oeste";41,1;3546
"2020";"04";"Não Térmico";"Norte-Nordeste";45,5;5120
"2020";"04";"Térmico";"Norte-Nordeste";32,7;5523
"2020";"04";"Não Térmico";"Sudeste";45,5;17053
"2020";"04";"Térmico";"Sudeste-Sul-Centro-Oeste";16,2;2714
"2020";"04";"Não Térmico";"Sul-Centro-Oeste";43,2;3698
"2020";"05";"Não Térmico";"Norte-Nordeste";40,8;5317
"2020";"05";"Térmico";"Norte-Nordeste";34,5;5060
"2020";"05";"Não Térmico";"Sudeste";42,4;19085
"2020";"05";"Térmico";"Sudeste-Sul-Centro-Oeste";19,5;2509
"2020";"05";"Não Térmico";"Sul-Centro-Oeste";39;4027
"2020";"06";"Não Térmico";"Norte-Nordeste";41,5;6080
"2020";"06";"Térmico";"Norte-Nordeste";27,2;7289
"2020";"06";"Não Térmico";"Sudeste";42,5;20596
"2020";"06";"Térmico";"Sudeste-Sul-Centro-Oeste";21,5;5271
"2020";"06";"Não Térmico";"Sul-Centro-Oeste";38,8;4436
"2020";"07";"Não Térmico";"Norte-Nordeste";41,3;6657
"2020";"07";"Térmico";"Norte-Nordeste";26,2;6668
"2020";"07";"Não Térmico";"Sudeste";39,6;23270
"2020";"07";"Térmico";"Sudeste-Sul-Centro-Oeste";21,7;4058
"2020";"07";"Não Térmico";"Sul-Centro-Oeste";38,2;4678
"2020";"08";"Não Térmico";"Norte-Nordeste";33;6667
"2020";"08";"Térmico";"Norte-Nordeste";25,6;7942
"2020";"08";"Não Térmico";"Sudeste";34,5;24061
"2020";"08";"Térmico";"Sudeste-Sul-Centro-Oeste";21;3132
"2020";"08";"Não Térmico";"Sul-Centro-Oeste";30,8;4898
"2020";"09";"Não Térmico";"Norte-Nordeste";33;7017
"2020";"09";"Térmico";"Norte-Nordeste";26,2;6733
"2020";"09";"Não Térmico";"Sudeste";33,8;24623
"2020";"09";"Térmico";"Sudeste-Sul-Centro-Oeste";23,7;2762
"2020";"09";"Não Térmico";"Sul-Centro-Oeste";31,1;5279
"2020";"10";"Não Térmico";"Norte-Nordeste";31,8;7179
"2020";"10";"Térmico";"Norte-Nordeste";20,3;13637
"2020";"10";"Não Térmico";"Sudeste";34,4;25265
"2020";"10";"Térmico";"Sudeste-Sul-Centro-Oeste";28,1;6647
"2020";"10";"Não Térmico";"Sul-Centro-Oeste";31,3;5139
"2020";"11";"Não Térmico";"Norte-Nordeste";41,8;7115
"2020";"11";"Térmico";"Norte-Nordeste";20,2;14931
"2020";"11";"Não Térmico";"Sudeste";41;25878
"2020";"11";"Térmico";"Sudeste-Sul-Centro-Oeste";31,4;7950
"2020";"11";"Não Térmico";"Sul-Centro-Oeste";41,4;5373
"2020";"12";"Não Térmico";"Norte-Nordeste";41,4;6840
"2020";"12";"Térmico";"Norte-Nordeste";20,1;14817
"2020";"12";"Não Térmico";"Sudeste";40,7;25296
"2020";"12";"Térmico";"Sudeste-Sul-Centro-Oeste";35,3;8615
"2020";"12";"Não Térmico";"Sul-Centro-Oeste";41,2;4879
"2021";"01";"Não Térmico";"Norte-Nordeste";42,6;6981
"2021";"01";"Térmico";"Norte-Nordeste";20,8;15971
"2021";"01";"Não Térmico";"Sudeste";41,8;25158
"2021";"01";"Térmico";"Sudeste-Sul-Centro-Oeste";32,3;7463
"2021";"01";"Não Térmico";"Sul-Centro-Oeste";41,1;4967
"2021";"02";"Não Térmico";"Norte-Nordeste";43;7723
"2021";"02";"Térmico";"Norte-Nordeste";23,5;14581
"2021";"02";"Não Térmico";"Sudeste";41,8;27854
"2021";"02";"Térmico";"Sudeste-Sul-Centro-Oeste";32,3;8262
"2021";"02";"Não Térmico";"Sul-Centro-Oeste";41,1;5499
"2021";"03";"Não Térmico";"Norte-Nordeste";42,9;7458
"2021";"03";"Térmico";"Norte-Nordeste";37,8;4644
"2021";"03";"Não Térmico";"Sudeste";42,9;25363
"2021";"03";"Térmico";"Sudeste-Sul-Centro-Oeste";38,9;9845
"2021";"03";"Não Térmico";"Sul-Centro-Oeste";43,3;4961
"2021";"04";"Não Térmico";"Norte-Nordeste";42,6;8357
"2021";"04";"Térmico";"Norte-Nordeste";31,5;6169
"2021";"04";"Não Térmico";"Sudeste";44,4;25344
"2021";"04";"Térmico";"Sudeste-Sul-Centro-Oeste";31,3;7470
"2021";"04";"Não Térmico";"Sul-Centro-Oeste";43,6;5263
"2021";"05";"Não Térmico";"Norte-Nordeste";54,9;8570
"2021";"05";"Térmico";"Norte-Nordeste";22,8;12029
"2021";"05";"Não Térmico";"Sudeste";55,8;26146
"2021";"05";"Térmico";"Sudeste-Sul-Centro-Oeste";31,3;6736
"2021";"05";"Não Térmico";"Sul-Centro-Oeste";59,7;5286
"2021";"06";"Não Térmico";"Norte-Nordeste";53,6;9250
"2021";"06";"Térmico";"Norte-Nordeste";22,2;14471
"2021";"06";"Não Térmico";"Sudeste";57;27222
"2021";"06";"Térmico";"Sudeste-Sul-Centro-Oeste";38,6;10368
"2021";"06";"Não Térmico";"Sul-Centro-Oeste";60,1;5402
"2021";"07";"Não Térmico";"Norte-Nordeste";53,6;10323
"2021";"07";"Térmico";"Norte-Nordeste";22,2;15437
"2021";"07";"Não Térmico";"Sudeste";58,8;27414
"2021";"07";"Térmico";"Sudeste-Sul-Centro-Oeste";46,1;10276
"2021";"07";"Não Térmico";"Sul-Centro-Oeste";60,2;5449
"2021";"08";"Não Térmico";"Norte-Nordeste";56,9;9976
"2021";"08";"Térmico";"Norte-Nordeste";21,6;16041
"2021";"08";"Não Térmico";"Sudeste";62,1;27856
"2021";"08";"Térmico";"Sudeste-Sul-Centro-Oeste";52,3;8937
"2021";"08";"Não Térmico";"Sul-Centro-Oeste";64,5;5157
"2021";"09";"Não Térmico";"Norte-Nordeste";56,7;9297
"2021";"09";"Térmico";"Norte-Nordeste";21,8;15574
"2021";"09";"Não Térmico";"Sudeste";62,2;27505
"2021";"09";"Térmico";"Sudeste-Sul-Centro-Oeste";72,8;4976
"2021";"09";"Não Térmico";"Sul-Centro-Oeste";65,1;5090
"2021";"10";"Não Térmico";"Norte-Nordeste";57,6;11126
"2021";"10";"Térmico";"Norte-Nordeste";21,9;15163
"2021";"10";"Não Térmico";"Sul-Centro-Oeste";64,6;5330
"2021";"10";"Não Térmico";"Sudeste";64,8;28094
"2021";"10";"Térmico";"Sudeste-Sul-Centro-Oeste";82,5;10193
"2021";"11";"Não Térmico";"Norte-Nordeste";61,6;11419
"2021";"11";"Térmico";"Norte-Nordeste";22,3;14954
"2021";"11";"Não Térmico";"Sul-Centro-Oeste";67,3;5349
"2021";"11";"Não Térmico";"Sudeste";66,5;27496
"2021";"11";"Térmico";"Sudeste-Sul-Centro-Oeste";64,1;9540
"2021";"12";"Não Térmico";"Norte-Nordeste";62,4;11088
"2021";"12";"Térmico";"Norte-Nordeste";26,3;8684
"2021";"12";"Não Térmico";"Sul-Centro-Oeste";66,8;4941
"2021";"12";"Não Térmico";"Sudeste";65,9;26026
"2021";"12";"Térmico";"Sudeste-Sul-Centro-Oeste";45,3;7056
"2022";"01";"Não Térmico";"Norte-Nordeste";69,1;11144
"2022";"01";"Térmico";"Norte-Nordeste";40,7;3979
"2022";"01";"Não Térmico";"Sul-Centro-Oeste";71,5;4827
"2022";"01";"Não Térmico";"Sudeste";70,1;25850
"2022";"01";"Térmico";"Sudeste-Sul-Centro-Oeste";60,3;8416
"2022";"02";"Não Térmico";"Norte-Nordeste";75,1;11585
"2022";"02";"Térmico";"Norte-Nordeste";39,9;4294
"2022";"02";"Não Térmico";"Sul-Centro-Oeste";81,9;5126
"2022";"02";"Não Térmico";"Sudeste";79,5;26620
"2022";"02";"Térmico";"Sudeste-Sul-Centro-Oeste";44,5;7381
